Sun-drenched Artistic 2 bedroom loft,32972178,Amrita,Brooklyn,Williamsburg,40.71096,-73.96302,Entire home/apt,216,5,10,1,3,10
Private & Comfortable studio Apartment,225291555,Daniela,Brooklyn,Williamsburg,40.71305,-73.9368,Entire home/apt,200,3,13,1,230,13
850 sq ft High Ceiling Studio Loft in West Village,40242880,Dil,Manhattan,West Village,40.73787,-74.00826,Entire home/apt,380,4,12,1,128,10
Private Studio Apartment,40828217,Anita,Brooklyn,Prospect-Lefferts Gardens,40.66156,-73.94321,Entire home/apt,95,7,17,4,159,14
Spacious two bedrooms condo in upper Manhattan,123460654,Leidis,Manhattan,Inwood,40.86299,-73.92182,Entire home/apt,192,2,32,1,321,28
Entirely Apt with 2 bedrooms Manhattan Chinatown,3212875,Elizabeth,Manhattan,Chinatown,40.71745,-73.995865,Entire home/apt,199,5,21,1,150,20
GRAND OPENING NEW 2 bedroom in Times Square area,36342576,John,Manhattan,Hell's Kitchen,40.75679,-73.99375,Entire home/apt,346,3,105,1,138,86
"Nice room in the Bronx , close of everything",334206598,Jarol E,Bronx,University Heights,40.86245,-73.90628,Private room,28,2,30,1,317,25
1 bd apartment 2 blocks from the water in Red Hook,7001027,Marco,Brooklyn,Red Hook,40.67471,-74.01274,Entire home/apt,229,3,3,1,362,3
Bright rare 3-bedroom apt with backyard access,110871178,Nis,Brooklyn,Brownsville,40.65843,-73.90722,Entire home/apt,144,3,24,2,249,23
"Brooklyn 2-bedroom, steps to Prospect Park",38672932,Meg,Brooklyn,Prospect-Lefferts Gardens,40.65643,-73.96108,Entire home/apt,220,2,6,1,0,5
Spacious Victorian Home With Large Yard,68242337,Kimberley,Brooklyn,Flatbush,40.63362,-73.95782,Entire home/apt,377,2,24,1,58,24
Stylish 1-bedroom Apartment in Brooklyn (+ office),120715669,Pielah,Brooklyn,Bedford-Stuyvesant,40.69212,-73.94402,Entire home/apt,130,50,1,1,15,1
Near LGA and JFK Airport New Charming Guest Suite,194377255,Jimmy,Queens,East Elmhurst,40.76026,-73.88488,Private room,55,1,52,4,145,40
Fully Equipped Spacious Studio in HK,241737264,Josh,Manhattan,Hell's Kitchen,40.76372,-73.99284,Entire home/apt,205,1,3,1,0,3
Modern bedroom w/private bathroom A Gem on Utica,96891607,Tiana,Brooklyn,East Flatbush,40.6613,-73.93152,Private room,101,1,28,4,363,23
Premium with the Kitchen Studio Rentals,395671107,Esplanade 99,Manhattan,Upper West Side,40.79587,-73.97174,Private room,83,30,0,23,154,0
Classic Deluxe SB #10 - Furnished Studio Rentals,395671107,Esplanade 99,Manhattan,Upper West Side,40.79776,-73.96977,Private room,57,30,0,23,179,0
FiDi Studio w/ Office by Anyplace - 10254,415840703,Anyplace,Manhattan,Financial District,40.70556,-74.00637,Entire home/apt,250,30,2,15,341,2
Modern bedroom #2 A lovely Gem on Utica,96891607,Tiana,Brooklyn,East Flatbush,40.66292,-73.93099,Private room,91,1,29,4,365,26
"Historic 1 Bedroom apt, 1 block from Central Park",30045574,Barry,Manhattan,Upper West Side,40.77679,-73.98091,Entire home/apt,160,30,2,8,196,2
Beautiful modern  1 bedroom apartment in Brooklyn,35837024,Nima,Brooklyn,Flatbush,40.64592,-73.95634,Entire home/apt,90,30,1,1,61,1
4 Bedroom Penthouse with private rooftop,6523090,Joerg,Manhattan,Upper East Side,40.78229,-73.9554,Entire home/apt,500,4,2,1,0,1
Classic Deluxe SB #10 - Furnished Studio Rentals,395671107,Esplanade 99,Manhattan,Upper West Side,40.797604,-73.971794,Private room,59,30,0,23,153,0
Boutique 1 Bedroom with all modern conveniences,4122424,Mark,Brooklyn,Williamsburg,40.70953,-73.94739,Entire home/apt,160,30,1,1,0,0
